COD_BARRIO	MAYORES	INFANTIL	DEPORTIVO
93	1	13	39
183	1	41	11
133	5	26	9
171	5	26	9
181	4	29	8
192	2	16	8
131	4	50	7
116	7	41	7
121	8	24	7
191	4	37	6
143	8	24	6
126	3	16	6
175	10	43	5
107	5	42	5
86	5	41	5
97	3	32	5
117	5	30	5
182	2	21	5
85	2	19	5
122	1	10	5
151	1	29	4
104	4	26	4
174	2	26	4
136	2	24	4
54	2	15	4
125	2	15	4
173	2	12	4
134	7	32	3
44	4	24	3
65	3	19	3
24	3	17	3
101	0	15	3
124	3	10	3
127	3	9	3
62	2	9	3
83	4	35	2
103	4	26	2
208	0	20	2
123	4	17	2
113	3	17	2
172	3	17	2
146	2	12	2
15	3	8	2
52	3	8	2
194	7	7	2
142	2	7	2
82	2	3	2
166	3	106	1
164	2	43	1
204	1	37	1
163	4	34	1
205	6	33	1
114	5	26	1
87	3	24	1
22	3	22	1
115	1	18	1
145	0	18	1
84	3	17	1
211	3	17	1
165	4	16	1
214	1	16	1
64	5	15	1
141	1	15	1
162	0	15	1
105	3	14	1
102	1	14	1
25	2	13	1
81	2	12	1
95	0	12	1
11	1	10	1
33	2	9	1
61	2	9	1
43	2	8	1
132	1	8	1
75	2	7	1
27	1	7	1
193	0	7	1
72	2	4	1
71	1	2	1
152	6	36	0
91	7	35	0
215	5	24	0
207	3	21	0
201	0	21	0
112	6	20	0
159	1	20	0
94	5	17	0
144	3	17	0
206	2	15	0
32	6	14	0
153	1	14	0
202	1	14	0
135	2	13	0
154	1	13	0
55	0	13	0
203	0	13	0
21	1	12	0
156	0	11	0
12	5	9	0
56	2	9	0
53	3	8	0
14	2	8	0
23	1	8	0
155	1	8	0
111	0	8	0
36	1	7	0
88	0	7	0
213	2	5	0
26	1	5	0
31	1	5	0
73	1	5	0
13	0	5	0
51	0	5	0
161	0	5	0
76	2	4	0
63	1	4	0
96	0	4	0
45	1	3	0
66	1	3	0
42	0	3	0
157	0	3	0
35	0	2	0
158	0	2	0
212	1	1	0
46	0	1	0
74	0	1	0
106	0	1	0
