fecha;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres;superficie_km;Renta_bruta_media_por_persona_2022_INE_distrito;Renta_neta_media_por_persona_2022_INE_distrito;Renta_disponible_media_por_persona_2020_barrio;Renta_neta_media_anual_de_los_hogares_2020_barrio
1 de enero de 2023;Madrid;1; Centro;11;Palacio;23501;11557;11944;1.47100;27030;20587;19643;39390
1 de enero de 2023;Madrid;1; Centro;12;Embajadores;46204;24094;22110;1.03200;27030;20587;14966;30825
1 de enero de 2023;Madrid;1; Centro;13;Cortes;10816;5350;5466;0.59200;27030;20587;20256;40008
1 de enero de 2023;Madrid;1; Centro;14;Justicia;18219;9261;8958;0.74200;27030;20587;23257;48352
1 de enero de 2023;Madrid;1; Centro;15;Universidad;32783;16269;16514;0.94700;27030;20587;18874;37188
1 de enero de 2023;Madrid;1; Centro;16;Sol;8164;4239;3925;0.44500;27030;20587;16914;34704
1 de enero de 2023;Madrid;2; Arganzuela;21;Imperial;22385;10421;11964;0.96700;27431;21383;19941;46721
1 de enero de 2023;Madrid;2; Arganzuela;22;Acacias;36069;16616;19453;1.07400;27431;21383;20922;48967
1 de enero de 2023;Madrid;2; Arganzuela;23;Chopera;19761;8992;10769;0.56600;27431;21383;15686;36345
1 de enero de 2023;Madrid;2; Arganzuela;24;Legazpi;19468;9508;9960;1.39600;27431;21383;21551;55486
1 de enero de 2023;Madrid;2; Arganzuela;25;Delicias;28575;13463;15112;1.05700;27431;21383;19002;45392
1 de enero de 2023;Madrid;2; Arganzuela;26;PalosdeMoguer;25097;11797;13300;0.64300;27431;21383;17840;38852
1 de enero de 2023;Madrid;2; Arganzuela;27;Atocha;1949;957;992;0.77500;27431;21383;17236;47715
1 de enero de 2023;Madrid;3; Retiro;31;Pacifico;33027;14809;18218;0.75000;33396;25407;20388;46093
1 de enero de 2023;Madrid;3; Retiro;32;Adelfas;18832;8699;10133;0.64000;33396;25407;21266;50837
1 de enero de 2023;Madrid;3; Retiro;33;Estrella;22649;10393;12256;1.02500;33396;25407;23885;62973
1 de enero de 2023;Madrid;3; Retiro;34;Ibiza;21492;9568;11924;0.49000;33396;25407;22756;52793
1 de enero de 2023;Madrid;3; Retiro;35;LosJeronimos;6825;3177;3648;1.90000;33396;25407;27048;71312
1 de enero de 2023;Madrid;3; Retiro;36;NinoJesus;15093;6812;8281;0.64300;33396;25407;27208;72311
1 de enero de 2023;Madrid;4; Salamanca;41;Recoletos;15444;6966;8478;0.87000;38751;28140;30437;79782
1 de enero de 2023;Madrid;4; Salamanca;42;Goya;29477;12872;16605;0.77100;38751;28140;24441;55488
1 de enero de 2023;Madrid;4; Salamanca;43;FuentedelBerro;20929;9129;11800;0.85200;38751;28140;20405;46114
1 de enero de 2023;Madrid;4; Salamanca;44;Guindalera;41964;19006;22958;1.59800;38751;28140;22227;51932
1 de enero de 2023;Madrid;4; Salamanca;45;Lista;20969;9056;11913;0.52000;38751;28140;24570;56249
