fecha;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres;superficie_km;Renta_bruta_media_por_persona_2022_INE_distrito;Renta_neta_media_por_persona_2022_INE_distrito;Perros_2023;Gatos_2023
1 de enero de 2023;Madrid;2; Arganzuela;2; Arganzuela;153304;71754;81550;6.47800;27431;21383;12685;7028
1 de enero de 2023;Madrid;21; Barajas;21; Barajas;48646;23332;25314;41.93000;27125;20788;6068;2176
1 de enero de 2023;Madrid;11; Carabanchel;11; Carabanchel;262339;122632;139707;14.04400;15239;12764;24302;9955
1 de enero de 2023;Madrid;1; Centro;1; Centro;139687;70770;68917;5.22900;27030;20587;19791;12457
1 de enero de 2023;Madrid;5; Chamartin;5; Chamartin;144796;65245;79551;9.16800;42678;30506;13632;5181
1 de enero de 2023;Madrid;7; Chamberi;7; Chamberi;138204;61149;77055;4.67100;36934;27076;16040;6351
1 de enero de 2023;Madrid;15; Ciudad Lineal;15; Ciudad Lineal;220345;100759;119586;11.42020;22440;17808;20830;11169
1 de enero de 2023;Madrid;8; Fuencarral-El Pardo;8; Fuencarral-El Pardo;248443;116944;131499;237.89300;28798;21947;21246;8199
1 de enero de 2023;Madrid;16; Hortaleza;16; Hortaleza;198391;94100;104291;27.39700;29047;21766;18929;10671
1 de enero de 2023;Madrid;10; Latina;10; Latina;241672;112093;129579;25.37900;17267;14375;23040;18398
1 de enero de 2023;Madrid;9; Moncloa-Aravaca;9; Moncloa-Aravaca;121757;56357;65400;46.58400;36592;26694;14946;5490
1 de enero de 2023;Madrid;14; Moratalaz;14; Moratalaz;92814;42212;50602;6.10600;20091;16437;8147;3561
1 de enero de 2023;Madrid;13; Puente de Vallecas;13; Puente de Vallecas;241603;114542;127061;15.00200;13354;11452;27953;9564
1 de enero de 2023;Madrid;3; Retiro;3; Retiro;117918;53458;64460;5.44800;33396;25407;9389;4173
1 de enero de 2023;Madrid;4; Salamanca;4; Salamanca;145702;64452;81250;5.38400;38751;28140;16905;6662
1 de enero de 2023;Madrid;20; San Blas-Canillejas;20; San Blas-Canillejas;161219;76154;85065;22.37600;19768;15902;16229;7083
1 de enero de 2023;Madrid;6; Tetuan;6; Tetuan;160002;72938;87064;5.38600;22890;18062;15002;7815
1 de enero de 2023;Madrid;12; Usera;12; Usera;142746;67538;75208;7.75300;13481;11430;14721;4569
1 de enero de 2023;Madrid;19; Vicalvaro;19; Vicalvaro;83804;40580;43224;35.26600;18214;14832;6377;2273
1 de enero de 2023;Madrid;18; Villa de Vallecas;18; Villa de Vallecas;117501;56726;60775;51.46700;17346;14274;12061;4552
1 de enero de 2023;Madrid;17; Villaverde;17; Villaverde;159038;76131;82907;20.17800;13604;11563;15896;4190
