ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"1118921";"Fuentes de beber";"043";"FUENTE DEL BERRO";"04";"SALAMANCA";"CERRADA_TEMPORALMENT";"443881.34";"4475590.91";"ETRS89";40.42906316;-3.66159450;"PLAZA";"AMERICA ESPAÑOLA";"1";"28028";"ACCESO FINAL PARQUE FUENTE DEL BERRO, PROXIMO A AREA CANINA";"31070561";"2017-04-27 00:00:00.0";"FUE_04_0039";"FUE22";"ZV";"MASCOTAS";"BEBEDERO TERRIER"
"5154625";"Fuentes de beber";"083";"PEÑAGRANDE";"08";"FUENCARRAL-EL PARDO";"CERRADA_TEMPORALMENT";"438845.032";"4480387.121";"ETRS89";40.47191427;-3.72142620;"CALLE";"JOAQUIN LORENZO";"5 B";"28035";"PARQUE ENTRE C/VALLE DE MENA Y JOAQUÍN LORENZO";"31009888";"2019-06-26 00:00:00.0";"FUE_08_0169";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA TERRIER"
"5216235";"Fuentes de beber";"193";"VALDERRIVAS";"19";"VICALVARO";"CERRADA_TEMPORALMENT";"448541.28";"4471642.73";"ETRS89";40.39379669;-3.60634123;"CALLE";"MINERVA";"157";"28032";"POSTERIOR, JUNTO AREA CANINA EN PARQUE LINEAL VALDERRIBAS SUR";"20180442";"2019-11-28 00:00:00.0";"FUE_19_0143";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA TERRIER"
"5219912";"Fuentes de beber";"072";"ARAPILES";"07";"CHAMBERI";"OPERATIVO";"439733.47";"4476105.84";"ETRS89";40.43341171;-3.71053998;"CALLE";"GALILEO";"35";"28015";"Parque José Luis Sampedro";"31044128";"2019-12-26 00:00:00.0";"FUE_07_0032";"FUE22";"ZV";"MASCOTAS";"BEBEDERO TERRIER"
"5220275";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"CERRADA_TEMPORALMENT";"439845.78";"4469898.55";"ETRS89";40.37750160;-3.70862926;"CALLE";"CRISTO DE LA VICTORIA";"245";"28026";"POSTERIOR A PUNTO LIMPIO USERA, EN PARQUE DE PRADOLONGO";"31028698";"2023-06-16 00:00:00.0";"FUE_12_0075";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"3568802";"Fuentes de beber";"153";"QUINTANA";"15";"CIUDAD LINEAL";"OPERATIVO";"444726.65";"4476271.89";"ETRS89";40.43525439;-3.65168880;"CALLE";"VIRGEN DE LLUC";"42";"28027";"PARQUE CALERO, JUNTO ÁREA CANINA";"11109420";"2017-10-13 00:00:00.0";"FUE_15_0123";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"5108929";"Fuentes de beber";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440133.39";"4473044.21";"ETRS89";40.40586001;-3.70553708;"RONDA";"TOLEDO";"9";"28005";"Parque Casino de la Reina";"20150618";"2019-05-24 00:00:00.0";"FUE_01_0063";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"5109125";"Fuentes de beber";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440116.53";"4473053.82";"ETRS89";40.40594537;-3.70573667;"RONDA";"TOLEDO";"7";"28005";"Parque Casino de la Reina";"11001954";"2019-05-24 00:00:00.0";"FUE_01_0064";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"5212696";"Fuentes de beber";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"437606.100";"4472480.100";"ETRS89";40.40059270;-3.73526400;"AVENIDA";"ANGEL SANZ BRIZ";"4";"28047";"JUNTO AREA CANINA Y CARRIL BICI, EN PARQUE CUÑA VERDE LATINA";"31067192";"2023-07-07 00:00:00.0";"FUE_10_0116";"FUE22";"ZV";"MASCOTAS";"BEBEDERO TERRIER"
"5220281";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"CERRADA_TEMPORALMENT";"440148.007";"4469911.526";"ETRS89";40.37764026;-3.70507043;"CALLE";"CRISTO DE LA VICTORIA";"199";"28026";"ZONA NORTE JARDIN BOTÁNICO, EN PARQUE DE PRADOLONGO";"11085922";"2023-06-26 00:00:00.0";"FUE_12_0077";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"5220283";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"CERRADA_TEMPORALMENT";"440330.577";"4469741.157";"ETRS89";40.37611857;-3.70290392;"CALLE";"DOCTOR TOLOSA LATOUR";"14 B";"28026";"EN SUROESTE CAMPO DE FUTBOL, PROXIMO A MIRADOR PARQUE DE PRADOLONGO";"31070728";"2023-06-30 00:00:00.0";"FUE_12_0078";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"5220287";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"CERRADA_TEMPORALMENT";"439933.398";"4469397.881";"ETRS89";40.37299763;-3.70754999;"AVENIDA";"POBLADOS";"167";"28041";"DETRAS DE GAOLINERA, EN AREA CANINA DE PRADOLONGO";"31007158";"2020-01-10 00:00:00.0";"FUE_12_0079";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
